,score
893,-60
894,-100
895,40
896,0
897,-40
898,-20
899,-20
900,-40
901,-20
902,-20
903,-80
904,-40
905,-80
906,-80
907,40
908,0
909,0
910,-20
911,0
912,-20
913,-40
914,-60
915,20
916,0
917,-60
918,0
919,-60
920,-40
921,-20
922,0
923,-20
924,-60
925,-40
926,20
927,-40
928,60
929,-100
930,-20
931,0
932,-60
933,-40
934,-40
935,-20
936,-20
937,-60
938,-40
939,-60
940,40
941,-40
942,-40
943,-40
944,-40
945,-20
946,-20
947,-40
948,-60
949,0
950,0
951,-20
952,-60
953,-100
954,-80
955,-40
956,-20
957,-60
958,0
959,-20
960,-60
961,-40
962,-40
963,-40
964,-40
965,0
966,20
967,0
968,0
969,-20
970,-40
971,20
972,60
973,-80
974,0
975,-60
976,-60
977,-40
978,-40
979,-60
980,20
981,-40
982,20
983,-80
984,-40
985,-20
986,40
987,-20
988,-20
989,-60
990,0
991,-60
992,-80
993,-40
994,-60
995,-60
996,-40
997,-20
998,-20
999,-40
