Running on host: studgpu-node09.inf.ethz.ch
In directory: /cluster/courses/3dv/data/team-25/decentralized_marl/ppo_algorithm
Starting on: Mon Jun 24 14:49:41 CEST 2024
SLURM_JOB_ID: 22729
using cuda
episode: 15300 | avg score: -15.0 | learning_steps: 4967
episode: 15400 | avg score: -10.2 | learning_steps: 4996
episode: 15500 | avg score: -4.9 | learning_steps: 5025
episode: 15600 | avg score: -9.4 | learning_steps: 5055
episode: 15700 | avg score: -3.0 | learning_steps: 5084
episode: 15800 | avg score: -11.3 | learning_steps: 5114
episode: 15900 | avg score: -19.3 | learning_steps: 5147
episode: 16000 | avg score: 1.6 | learning_steps: 5174
episode: 16100 | avg score: -9.1 | learning_steps: 5204
episode: 16200 | avg score: -4.5 | learning_steps: 5233
episode: 16300 | avg score: -8.3 | learning_steps: 5264
episode: 16400 | avg score: -7.2 | learning_steps: 5293
episode: 16500 | avg score: -13.5 | learning_steps: 5324
episode: 16600 | avg score: 1.1 | learning_steps: 5353
episode: 16700 | avg score: 0.5 | learning_steps: 5381
episode: 16800 | avg score: -4.4 | learning_steps: 5410
episode: 16900 | avg score: -1.3 | learning_steps: 5439
episode: 17000 | avg score: -2.4 | learning_steps: 5467
episode: 17100 | avg score: 1.9 | learning_steps: 5495
episode: 17200 | avg score: 3.0 | learning_steps: 5521
episode: 17300 | avg score: 2.1 | learning_steps: 5548
episode: 17400 | avg score: 5.6 | learning_steps: 5575
episode: 17500 | avg score: -4.0 | learning_steps: 5605
episode: 17600 | avg score: -13.0 | learning_steps: 5636
episode: 17700 | avg score: -4.9 | learning_steps: 5665
episode: 17800 | avg score: -12.1 | learning_steps: 5696
episode: 17900 | avg score: -14.1 | learning_steps: 5728
episode: 18000 | avg score: -10.8 | learning_steps: 5758
episode: 18100 | avg score: -3.4 | learning_steps: 5788
episode: 18200 | avg score: 2.0 | learning_steps: 5815
episode: 18300 | avg score: -2.5 | learning_steps: 5843
episode: 18400 | avg score: -1.5 | learning_steps: 5871
episode: 18500 | avg score: -3.5 | learning_steps: 5900
episode: 18600 | avg score: -2.6 | learning_steps: 5929
episode: 18700 | avg score: -0.2 | learning_steps: 5957
episode: 18800 | avg score: -3.2 | learning_steps: 5986
episode: 18900 | avg score: -1.3 | learning_steps: 6015
episode: 19000 | avg score: 0.9 | learning_steps: 6042
episode: 19100 | avg score: -0.7 | learning_steps: 6070
episode: 19200 | avg score: -2.3 | learning_steps: 6098
episode: 19300 | avg score: -6.9 | learning_steps: 6127
episode: 19400 | avg score: 5.3 | learning_steps: 6154
episode: 19500 | avg score: -6.7 | learning_steps: 6183
episode: 19600 | avg score: 5.0 | learning_steps: 6209
episode: 19700 | avg score: 2.2 | learning_steps: 6237
episode: 19800 | avg score: 14.5 | learning_steps: 6261
episode: 19900 | avg score: 0.1 | learning_steps: 6289
finished at: Mon Jun 24 15:49:47 CEST 2024
