,score
889,-20
890,-40
891,-40
892,20
893,-20
894,-60
895,-40
896,-40
897,-60
898,-20
899,0
900,-20
901,-40
902,-80
903,-40
904,-40
905,20
906,-40
907,-20
908,-80
909,-60
910,-40
911,-60
912,-20
913,-20
914,-40
915,0
916,-80
917,-20
918,-20
919,-20
920,-40
921,-40
922,-60
923,40
924,-20
925,0
926,-20
927,-40
928,-20
929,-40
930,0
931,-20
932,-80
933,0
934,20
935,-40
936,20
937,-40
938,-60
939,-80
940,0
941,-40
942,-60
943,-20
944,-80
945,-80
946,-40
947,-60
948,-80
949,-20
950,-20
951,0
952,0
953,-20
954,0
955,0
956,-40
957,-40
958,0
959,-40
960,0
961,-100
962,-20
963,-40
964,-60
965,0
966,-60
967,20
968,-40
969,-20
970,40
971,-40
972,-60
973,-20
974,-60
975,-80
976,-40
977,-40
978,-20
979,-20
980,0
981,-40
982,0
983,-40
984,-40
985,-20
986,-20
987,40
988,20
989,-60
990,0
991,-60
992,0
993,-60
994,-60
995,-20
996,-20
997,-40
998,-40
999,-80
