,score
952,-60
953,-30
954,-90
955,0
956,-120
957,-120
958,-120
959,0
960,-90
961,-60
962,-120
963,-120
964,-150
965,-90
966,-60
967,-60
968,-120
969,-90
970,-90
971,-60
972,-150
973,-120
974,-30
975,-30
976,-150
977,-60
978,-30
979,-60
980,-90
981,-60
982,-90
983,-60
984,-90
985,-90
986,-90
987,-90
988,-90
989,-60
990,-60
991,-90
992,-60
993,-60
994,-30
995,-90
996,-90
997,-90
998,-60
999,-90
