,score
943,-40
944,-40
945,-40
946,-20
947,-60
948,-20
949,-40
950,0
951,-40
952,0
953,0
954,40
955,-20
956,-20
957,-40
958,-40
959,-60
960,-20
961,-20
962,-100
963,-40
964,-40
965,-40
966,-20
967,-20
968,-20
969,-40
970,-60
971,-20
972,-40
973,-20
974,0
975,-60
976,-20
977,-20
978,-20
979,-20
980,-20
981,-60
982,-40
983,-20
984,0
985,-20
986,-20
987,-60
988,40
989,-20
990,-20
991,-20
992,0
993,-20
994,-20
995,-60
996,-60
997,0
998,-40
999,-40
