Running on host: studgpu-node01.inf.ethz.ch
In directory: /cluster/courses/3dv/data/team-25/decentralized_marl/catmouse_experiments
Starting on: Thu Jun 27 16:14:28 CEST 2024
SLURM_JOB_ID: 23191
using cuda
episode: 0 | avg score: 0.0 | learning_steps: 0
episode: 19100 | avg score: -47.2 | learning_steps: 7409
episode: 19200 | avg score: -46.2 | learning_steps: 7448
episode: 19300 | avg score: -42.0 | learning_steps: 7487
episode: 19400 | avg score: -44.7 | learning_steps: 7526
episode: 19500 | avg score: -45.2 | learning_steps: 7564
episode: 19600 | avg score: -42.2 | learning_steps: 7603
episode: 19700 | avg score: -44.7 | learning_steps: 7642
episode: 19800 | avg score: -43.6 | learning_steps: 7681
episode: 19900 | avg score: -43.7 | learning_steps: 7720
episode: 20000 | avg score: -46.7 | learning_steps: 7759
episode: 20100 | avg score: -44.4 | learning_steps: 7798
episode: 20200 | avg score: -45.7 | learning_steps: 7836
episode: 20300 | avg score: -45.0 | learning_steps: 7875
episode: 20400 | avg score: -45.3 | learning_steps: 7914
episode: 20500 | avg score: -45.6 | learning_steps: 7953
episode: 20600 | avg score: -46.8 | learning_steps: 7992
episode: 20700 | avg score: -45.4 | learning_steps: 8031
episode: 20800 | avg score: -44.5 | learning_steps: 8070
episode: 20900 | avg score: -46.2 | learning_steps: 8108
episode: 21000 | avg score: -45.6 | learning_steps: 8147
episode: 21100 | avg score: -44.5 | learning_steps: 8186
episode: 21200 | avg score: -45.1 | learning_steps: 8225
episode: 21300 | avg score: -45.3 | learning_steps: 8264
episode: 21400 | avg score: -47.9 | learning_steps: 8302
episode: 21500 | avg score: -44.5 | learning_steps: 8341
episode: 21600 | avg score: -48.2 | learning_steps: 8380
episode: 21700 | avg score: -45.8 | learning_steps: 8419
episode: 21800 | avg score: -46.4 | learning_steps: 8458
episode: 21900 | avg score: -46.0 | learning_steps: 8496
episode: 22000 | avg score: -45.9 | learning_steps: 8535
episode: 22100 | avg score: -43.8 | learning_steps: 8574
episode: 22200 | avg score: -44.7 | learning_steps: 8613
episode: 22300 | avg score: -47.7 | learning_steps: 8652
episode: 22400 | avg score: -44.9 | learning_steps: 8691
episode: 22500 | avg score: -45.2 | learning_steps: 8729
episode: 22600 | avg score: -47.4 | learning_steps: 8768
episode: 22700 | avg score: -47.0 | learning_steps: 8807
episode: 22800 | avg score: -45.1 | learning_steps: 8846
slurmstepd: error: *** JOB 23191 ON studgpu-node01 CANCELLED AT 2024-06-27T17:22:56 ***
slurmstepd: error: *** STEP 23191.0 ON studgpu-node01 CANCELLED AT 2024-06-27T17:22:56 ***
