Running on host: studgpu-node09.inf.ethz.ch
In directory: /cluster/courses/3dv/data/team-25/decentralized_marl/catmouse_experiments
Starting on: Tue Jun 25 16:33:15 CEST 2024
SLURM_JOB_ID: 22912
using cuda
episode: 15700 | avg score: -4.6 | learning_steps: 338
episode: 15800 | avg score: -5.1 | learning_steps: 340
episode: 15900 | avg score: -4.7 | learning_steps: 342
episode: 16000 | avg score: -4.0 | learning_steps: 344
episode: 16100 | avg score: -4.5 | learning_steps: 346
episode: 16200 | avg score: -4.7 | learning_steps: 349
episode: 16300 | avg score: -4.4 | learning_steps: 351
episode: 16400 | avg score: -4.7 | learning_steps: 353
episode: 16500 | avg score: -4.6 | learning_steps: 355
episode: 16600 | avg score: -4.2 | learning_steps: 357
episode: 16700 | avg score: -5.0 | learning_steps: 359
episode: 16800 | avg score: -4.6 | learning_steps: 361
episode: 16900 | avg score: -4.4 | learning_steps: 364
episode: 17000 | avg score: -4.0 | learning_steps: 366
episode: 17100 | avg score: -4.1 | learning_steps: 368
episode: 17200 | avg score: -5.3 | learning_steps: 370
episode: 17300 | avg score: -5.1 | learning_steps: 372
episode: 17400 | avg score: -4.7 | learning_steps: 374
episode: 17500 | avg score: -5.2 | learning_steps: 377
episode: 17600 | avg score: -5.5 | learning_steps: 379
episode: 17700 | avg score: -4.9 | learning_steps: 381
episode: 17800 | avg score: -4.6 | learning_steps: 383
episode: 17900 | avg score: -3.1 | learning_steps: 385
episode: 18000 | avg score: -5.0 | learning_steps: 387
episode: 18100 | avg score: -5.0 | learning_steps: 390
episode: 18200 | avg score: -5.6 | learning_steps: 392
episode: 18300 | avg score: -3.8 | learning_steps: 394
episode: 18400 | avg score: -5.3 | learning_steps: 396
episode: 18500 | avg score: -4.8 | learning_steps: 398
episode: 18600 | avg score: -4.8 | learning_steps: 400
episode: 18700 | avg score: -5.1 | learning_steps: 402
episode: 18800 | avg score: -5.0 | learning_steps: 404
episode: 18900 | avg score: -5.0 | learning_steps: 407
episode: 19000 | avg score: -5.0 | learning_steps: 409
episode: 19100 | avg score: -4.8 | learning_steps: 411
episode: 19200 | avg score: -5.1 | learning_steps: 413
episode: 19300 | avg score: -4.4 | learning_steps: 415
episode: 19400 | avg score: -5.4 | learning_steps: 417
episode: 19500 | avg score: -4.1 | learning_steps: 420
episode: 19600 | avg score: -5.2 | learning_steps: 422
episode: 19700 | avg score: -4.6 | learning_steps: 424
episode: 19800 | avg score: -4.9 | learning_steps: 426
episode: 19900 | avg score: -4.8 | learning_steps: 429
finished at: Tue Jun 25 16:36:37 CEST 2024
