Running on host: studgpu-node09.inf.ethz.ch
In directory: /cluster/courses/3dv/data/team-25/decentralized_marl/catmouse_experiments
Starting on: Tue Jun 25 16:51:04 CEST 2024
SLURM_JOB_ID: 22925
using cuda
episode: 19000 | avg score: 113.6 | learning_steps: 2110
episode: 19100 | avg score: 113.7 | learning_steps: 2119
episode: 19200 | avg score: 115.4 | learning_steps: 2128
episode: 19300 | avg score: 114.9 | learning_steps: 2137
episode: 19400 | avg score: 118.9 | learning_steps: 2146
episode: 19500 | avg score: 125.1 | learning_steps: 2155
episode: 19600 | avg score: 112.0 | learning_steps: 2166
episode: 19700 | avg score: 114.5 | learning_steps: 2175
episode: 19800 | avg score: 114.5 | learning_steps: 2184
episode: 19900 | avg score: 109.8 | learning_steps: 2193
finished at: Tue Jun 25 17:07:39 CEST 2024
