Running on host: studgpu-node01.inf.ethz.ch
In directory: /cluster/courses/3dv/data/team-25/decentralized_marl/catmouse_experiments
Starting on: Thu Jun 27 00:05:08 CEST 2024
SLURM_JOB_ID: 23135
using cuda
episode: 17000 | avg score: 89.0 | learning_steps: 6415
episode: 17100 | avg score: 81.0 | learning_steps: 6454
episode: 17200 | avg score: 111.7 | learning_steps: 6492
episode: 17300 | avg score: 83.2 | learning_steps: 6530
episode: 17400 | avg score: 108.8 | learning_steps: 6568
episode: 17500 | avg score: 115.6 | learning_steps: 6606
episode: 17600 | avg score: 91.5 | learning_steps: 6644
episode: 17700 | avg score: 98.0 | learning_steps: 6682
episode: 17800 | avg score: 113.0 | learning_steps: 6720
episode: 17900 | avg score: 112.1 | learning_steps: 6758
episode: 18000 | avg score: 92.1 | learning_steps: 6795
episode: 18100 | avg score: 92.4 | learning_steps: 6834
episode: 18200 | avg score: 124.9 | learning_steps: 6872
episode: 18300 | avg score: 83.5 | learning_steps: 6909
episode: 18400 | avg score: 111.4 | learning_steps: 6947
episode: 18500 | avg score: 94.6 | learning_steps: 6985
episode: 18600 | avg score: 118.0 | learning_steps: 7022
episode: 18700 | avg score: 119.9 | learning_steps: 7059
episode: 18800 | avg score: 88.5 | learning_steps: 7097
episode: 18900 | avg score: 113.0 | learning_steps: 7134
episode: 19000 | avg score: 95.5 | learning_steps: 7172
episode: 19100 | avg score: 120.7 | learning_steps: 7209
episode: 19200 | avg score: 78.5 | learning_steps: 7247
episode: 19300 | avg score: 60.6 | learning_steps: 7285
episode: 19400 | avg score: 113.8 | learning_steps: 7323
episode: 19500 | avg score: 107.0 | learning_steps: 7361
episode: 19600 | avg score: 91.8 | learning_steps: 7399
episode: 19700 | avg score: 59.1 | learning_steps: 7437
episode: 19800 | avg score: 107.8 | learning_steps: 7475
episode: 19900 | avg score: 102.0 | learning_steps: 7513
episode: 20000 | avg score: 88.2 | learning_steps: 7551
episode: 20100 | avg score: 98.0 | learning_steps: 7589
episode: 20200 | avg score: 107.8 | learning_steps: 7627
episode: 20300 | avg score: 79.2 | learning_steps: 7665
episode: 20400 | avg score: 117.8 | learning_steps: 7703
episode: 20500 | avg score: 90.8 | learning_steps: 7740
episode: 20600 | avg score: 78.7 | learning_steps: 7778
episode: 20700 | avg score: 95.7 | learning_steps: 7816
episode: 20800 | avg score: 115.3 | learning_steps: 7853
episode: 20900 | avg score: 92.6 | learning_steps: 7890
episode: 21000 | avg score: 87.2 | learning_steps: 7928
episode: 21100 | avg score: 101.3 | learning_steps: 7966
episode: 21200 | avg score: 87.0 | learning_steps: 8004
episode: 21300 | avg score: 90.1 | learning_steps: 8042
episode: 21400 | avg score: 83.1 | learning_steps: 8079
episode: 21500 | avg score: 94.0 | learning_steps: 8116
episode: 21600 | avg score: 89.9 | learning_steps: 8154
episode: 21700 | avg score: 124.5 | learning_steps: 8191
episode: 21800 | avg score: 98.2 | learning_steps: 8228
